00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 2101                  101
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 2218                  117
ffffffff, 00000000, ffffffff, 00000000, 1, 0, ffffffff, 00000000, 1, 0,                 2318                  100
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 2437                  119
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                 2537                  100
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 2656                  119
aaaaaaaa, 55555555, 55555555, aaaaaaaa, 1, 0, 00000000, ffffffff, 1, 0,                 3187                  531
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 3305                  118
55555555, aaaaaaaa, 55555555, aaaaaaaa, 0, 1, aaaaaaaa, 55555555, 0, 1,                 3404                   99
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 3518                  114
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 1, 0, 55555555, aaaaaaaa, 1, 0,                 3617                   99
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 3731                  114
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                 3831                  100
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 3950                  119
ffffffff, 00000000, ffffffff, 00000000, 0, 1, fffffffe, 00000001, 1, 0,                 4050                  100
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 4169                  119
55555555, aaaaaaaa, 55555555, aaaaaaaa, 1, 0, aaaaaaab, 55555554, 0, 1,                 4268                   99
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 4382                  114
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 0, 1, 55555554, aaaaaaab, 1, 0,                 4481                   99
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 4595                  114
55555555, aaaaaaaa, aaaaaaaa, 55555555, 1, 0, 00000000, ffffffff, 1, 0,                 5127                  532
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 5245                  118
80054600, 7ffab9ff, 12153524, edeacadb, 1, 0, 921a7b25, 6de584da, 0, 1,                 5380                  135
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 5497                  117
0dbb5f1b, f244a0e4, 8484d609, 7b7b29f6, 1, 0, 92403525, 6dbfcada, 0, 1,                 5687                  190
